1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
NaN,NaN,NaN,28000000,NaN,NaN,NaN,NaN,64000000,NaN,300000000,NaN,5000000,45000000,200,NaN,6000000,NaN,NaN,NaN,NaN,NaN,0,NaN,4000000,NaN,NaN,NaN,NaN,NaN,NaN
2000000000,42000000,NaN,7000000,NaN,7200000,28000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10000000,42700000,7000000,NaN,NaN,NaN,0,125000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,50000000,NaN,10000000,350000000,NaN,NaN,NaN,NaN,1900000,NaN,NaN,NaN,NaN,2000000,1000000000,NaN,NaN,NaN,NaN,NaN,NaN,0,100000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,319000000,NaN,NaN,NaN,NaN,2000000,200000000,164000000,NaN,NaN,NaN,NaN,1175,12400000,4100000,NaN,392000,NaN,NaN,NaN,165000000,71000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3000000,200000,583000000,NaN,NaN,233000000,NaN,NaN,NaN,NaN,NaN,532000000,NaN,500000000,NaN,NaN,38119.44091,NaN,NaN,117000000,NaN,245000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5600000,NaN,NaN,NaN,NaN,2000000000,1400000,NaN,NaN,NaN,760000000,NaN,NaN,NaN,3200000,50000000,NaN,64000000,NaN,NaN,14200000,NaN,90000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,1700000,400000000,4340000,4840000,24000000,NaN,19000000,NaN,4000000000,NaN,1650000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25000000,2500000,0,130000000,44000000,NaN,NaN,NaN,NaN,NaN,NaN
NaN,30000000,NaN,NaN,NaN,NaN,NaN,900000,37000000,NaN,400000,NaN,NaN,NaN,300000000,NaN,NaN,NaN,NaN,NaN,500000000,0,0,150000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12100000,3850000,NaN,NaN,4340000,NaN,NaN,9000000,1000000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,425000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,100000000,NaN,NaN,500000,2000000,2000000,NaN,NaN,NaN,NaN,NaN,NaN,13000000,NaN,NaN,NaN,59000000,NaN,32000000,NaN,35000000,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11000000,NaN,110000000,NaN,2600000,NaN,NaN,2589900,3500000,NaN,NaN,6000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27100000,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,30000000,80000000,NaN,NaN,NaN,157000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9600000,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,500000000,1500000000,NaN,NaN,NaN,2100000,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,20000000,NaN,NaN,NaN,2000000000,NaN,100000000,NaN,1700000,2000000000,10000000,NaN,NaN,NaN,NaN,13000000,NaN,NaN,NaN,NaN,0,30000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
200000000,NaN,108000000,NaN,25000000,156000,3000000,NaN,NaN,NaN,NaN,6860000,NaN,NaN,2277777.778,212000000,NaN,NaN,NaN,NaN,NaN,0,0,1000000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,25000000,NaN,NaN,NaN,100000000,NaN,NaN,NaN,855000,NaN,434800000,NaN,NaN,32583903.55,12000000,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1300000,NaN,20000000,NaN,NaN,NaN,100000000,21000000,903000000,1400000,NaN,14500000,NaN,NaN,NaN,NaN,NaN,20000000,NaN,1000000,200000000,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400000,NaN,NaN,13000000,NaN,NaN,1400000000,50000000,12500000,NaN,NaN,NaN,NaN,NaN,NaN,30000000,125800000,NaN,NaN,NaN,52000000,390000,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,1200000000,NaN,72000000,NaN,280000,80000000,100000000,8400000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1300000,967000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
67000000,5000000,NaN,NaN,NaN,NaN,NaN,10000000,400000000,NaN,NaN,430000,NaN,NaN,3000,40000000,NaN,NaN,NaN,NaN,NaN,500000,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,3000000,NaN,NaN,NaN,NaN,NaN,NaN,18000000,NaN,500000,7930000,200000000,270000000,NaN,NaN,200000000,NaN,150000000,NaN,NaN,0,30000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
230000,165500000,20000000,NaN,NaN,NaN,NaN,NaN,372200000,NaN,600000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6700000,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,2500000,NaN,NaN,NaN,NaN,25000000,70000000,36531642.85,NaN,400000,NaN,NaN,NaN,24200000,NaN,236835.8727,NaN,NaN,NaN,NaN,1070820,0,1900000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,72000000000,800000000,260000000,NaN,100000,75000000000,170000000,310000,NaN,3000000000,NaN,30000000,NaN,5000000,81500000,NaN,NaN,NaN,NaN,4600000,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,42248463,NaN,NaN,NaN,500000000,32000000,NaN,NaN,NaN,10000000,NaN,19500000,NaN,33000000,NaN,NaN,NaN,2000000,NaN,NaN,27600000,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60000000,NaN,2700000,NaN,650000,161000000,152000,143000000,NaN,161000000,14400000000,NaN,35000000,NaN,NaN,NaN,NaN,NaN,NaN,210000000,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,300000000,NaN,NaN,53000000,NaN,300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,200000,NaN,0,0,54000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,22000000,NaN,NaN,NaN,NaN,NaN,28600000,NaN,NaN,80000000,NaN,NaN,10935915,NaN,NaN,NaN,NaN,NaN,NaN,4000000,7000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,1000000000,NaN,NaN,NaN,NaN,280000000,30000000,NaN,NaN,NaN,276000000,NaN,NaN,NaN,NaN,NaN,NaN,60000000,NaN,800000,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,717000000,NaN,10800000,22000000,NaN,NaN,NaN,42978403.35,NaN,NaN,36000000,1000000000,97300000,1170000000,NaN,13000000,700000000,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,2000000,NaN,NaN,290000000,NaN,NaN,NaN,NaN,NaN,NaN,60000000,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,76000000,NaN,NaN,100000000,NaN,860000000,3500000000,NaN,10000000,NaN,NaN,60404.71157,83000000,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
500000000,NaN,NaN,450000000,NaN,592000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2200000,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,12000000,12000000000,NaN,5500000,NaN,NaN,NaN,NaN,6000000,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
350000000,323000000,NaN,NaN,21000000,NaN,2000000,NaN,NaN,NaN,200000000,1200000000,NaN,NaN,36466007487,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,7000000,670000,NaN,NaN,31000000,570000000,NaN,2000000,NaN,NaN,1270000000,8000000000,30000000,NaN,NaN,NaN,NaN,NaN,0,0,NaN,240000000,NaN,NaN,NaN,NaN,NaN,NaN
100000,36000000,NaN,NaN,NaN,43478,6000000,NaN,NaN,NaN,NaN,1000000000,NaN,NaN,NaN,75000000,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,40000000,NaN,150,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50000000,NaN,4000000,238000000,NaN,NaN,NaN,NaN,50000,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40000000,NaN,NaN,NaN,NaN,150000000,300000000,NaN,NaN,NaN,NaN,NaN,9900000,2500000000,NaN,50000000,7500000,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,12000000,NaN,725000,3000000000,500000,100000000,NaN,2200000,NaN,NaN,NaN,NaN,NaN,NaN,76000000,NaN,NaN,30000000,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,20000000,NaN,NaN,16000000,3600000,NaN,NaN,180000000,NaN,NaN,NaN,NaN,NaN,14300000,6000000,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,300000,NaN,NaN,1500000,NaN,3700000,220000000,444000,NaN,450000000,180000,100000000,6154000,NaN,NaN,1450000,NaN,NaN,NaN,0,0,390000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
