1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
19850105,19860106,19870126,19880102,19890108,19900114,19910106,19920103,19930103,19940108,19950117,19960112,19970106,19980120,19990110,20000110,20010322,20020104,20030217,20040116,20050201,20060104,20070301,20080106,20090113,20100113,20110204,20120109,20130110,20140104,20150209
19850202,19860403,19870205,19880205,19890102,19900111,19910205,19920106,19930106,19940113,19950109,19960109,19970108,19980201,19990110,20000115,20010427,20020104,20030108,20040107,20050110,20060120,20070112,20080109,20090116,20100113,20110118,20120109,20130110,20140207,20150209
19850121,19860501,19870130,19880210,19890108,19900115,19910217,19920105,19930105,19940122,19950109,19960115,19970201,19980204,19990110,20000327,20010104,20020104,20030106,20040220,20050110,20060111,20070104,20080109,20090116,20100110,20110118,20120214,20130110,20140501,20150209
19850218,19860227,19870128,19880204,19890117,19900314,19910208,19920108,19930120,19940120,19950111,19960116,19970107,19980128,19990315,20000201,20010107,20020107,20030106,20040110,20050111,20060214,20070310,20080116,20090127,20100113,20110118,20120307,20130110,20140207,20150111
19850211,19860405,19870214,19880202,19890127,19900201,19910301,19920107,19930118,19940120,19950120,19960121,19970108,19980221,19990205,20000311,20010114,20020107,20030108,20040308,20050113,20060112,20070122,20080115,20090129,20100128,20110110,20120206,20130110,20140207,20150209
19850228,19860507,19870210,19880206,19890210,19900210,19910401,19920109,19930121,19940131,19950130,19960122,19970110,19980224,19990208,20000301,20010115,20020123,20030108,20040111,20050210,20060131,20070501,20080126,20090202,20100113,20110118,20120129,20130110,20140207,20150209
19850218,19860425,19870223,19880302,19890208,19900201,19910314,19920118,19930205,19940220,19950207,19960125,19970114,19980207,19990207,20000222,20010121,20020108,20030106,20040119,20050118,20060117,20070510,20080129,20090126,20100122,20110131,20120206,20130110,20140330,20150209
19850223,19860506,19870307,19880222,19890201,19900130,19910319,19920129,19930205,19940216,19950217,19960201,19970118,19980315,19990212,20000304,20010120,20020112,20030111,20040121,20050225,20060118,20070124,20080120,20090126,20100119,20110131,20120206,20130117,20140207,20150224
19850301,19860512,19870311,19880315,19890202,19900216,19910325,19920215,19930222,19940202,19950213,19960127,19970315,19980213,19990213,20000304,20010129,20020112,20030110,20040117,20050127,20060127,20070201,20080201,20090127,20100128,20110131,20120214,20130117,20140310,20150224
19850228,19860515,19870317,19880328,19890210,19900216,19910331,19920212,19930210,19940214,19950221,19960129,19970228,19980307,19990214,20000311,20010206,20020113,20030422,20040225,20050202,20060417,20070116,20080126,20090227,20100130,20110131,20120214,20130122,20140310,20150224
