1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
35.8142,44.0047,-19.6111,21.3825,10.5704,7.60118,53.5893,57.28,-17.8368,13.4358,39.6057,8.70101,42.1497,-2.3061,40.092,-24.8904,-14.9061,-5.23305,-14.7661,38.677,38.2106,-8.02272,-3.13897,-6.22483,-17.1271,-17.8267,-31.0553,-19.4637,9.88586,-12.4186,-18.7946
-18.7111,-16.5525,-24.152,9.60268,-28.4838,45.0135,31.7208,12.5093,27.2447,-9.38978,-10.1851,-6.25757,-19.298,-18.7466,39.2186,-14.1452,-16.2016,-15.8146,49.2074,6.66256,-40.9561,41.5521,-22.4155,-28.4427,-16.5964,-30.9508,-18.7387,8.77228,5.48006,-6.6324,-19.6675
10.0207,-16.1155,-16.7537,-22.4939,-21.2427,13.4473,31.6519,-22.5599,7.62904,-6.83998,-23.0133,-26.0746,37.544,-13.8676,-18.0546,-27.8219,-10.6938,47.8914,51.2646,-17.4825,55.1831,47.7171,15.0975,39.6308,42.2483,-21.8476,8.13264,-21.4513,-3.86702,-13.3888,-16.4638
1.01489,39.2816,-23.5772,30.6473,57.2883,-26.6947,-1.31926,18.2253,33.0191,-9.05287,0.633088,8.80064,33.0225,-14.556,-23.2947,7.19937,50.3658,8.25125,31.8332,-8.29307,34.0959,6.89182,-17.4667,6.90584,7.12112,41.4664,7.60326,-21.7176,-9.28298,-20.2044,-19.1872
-25.8693,45.0248,43.1418,19.321,50.9569,33.214,54.9063,-31.3961,56.3141,-25.2628,-32.2627,41.359,22.6243,35.1755,32.2778,-15.7826,-1.25302,3.6716,-16.4857,-22.525,37.2699,-6.38134,4.96798,40.7767,-2.63531,-22.9804,50.3468,-17.784,7.25699,-17.2057,41.4571
-11.6516,-29.4731,-12.3047,-7.76758,39.235,52.8007,29.3318,52.4178,29.9467,-7.37598,48.1547,-18.0362,39.041,33.3837,8.1918,-31.2681,10.7585,45.5001,64.6959,-14.8766,-3.90354,-23.2603,-16.9738,-24.4957,-20.1071,9.11544,-6.8436,-7.48277,44.2559,43.9958,-17.8703
-37.2305,-9.79844,-7.33531,-28.8429,11.2304,-7.13095,-15.9365,25.5033,-6.80799,-8.13028,50.3282,45.3505,37.5096,40.7361,-30.5573,37.7227,5.38603,5.64745,-0.10174,29.4666,9.8763,10.3192,-12.9526,26.5539,19.3268,37.4251,9.40044,42.555,32.8398,-21.5196,0.686073
-7.04008,33.3427,-0.131721,-12.823,39.4927,30.6182,-27.7437,36.3763,8.79448,-18.8541,-0.529789,32.8745,43.4361,-6.77841,-26.4204,-16.5282,-5.23556,-3.9968,-37.1744,14.3526,6.60784,-25.4775,7.71183,31.345,47.6062,28.077,21.3521,39.8677,7.59777,-14.3299,-32.3809
40.6691,15.0651,-11.8797,-22.1508,43.8036,25.9245,21.537,32.4291,29.4316,3.52764,-23.5199,-28.076,-9.1371,-15.6996,15.5463,13.7185,40.8045,15.5553,42.0601,-22.5514,24.7876,-8.44131,2.19171,-20.3986,-17.6884,-25.593,-4.05208,-6.31874,0.058024,-4.14041,19.3285
-21.2244,37.2733,32.5541,-34.6391,-15.4802,48.6199,-23.0116,-15.5843,13.9406,3.12557,-23.8263,-24.9044,-17.399,46.5334,-0.357822,-23.5253,-29.0025,29.6686,-11.8781,-19.1711,-25.0483,-16.0334,6.70613,52.9158,29.6139,-12.9894,-36.617,7.15665,-6.17945,-24.4459,-11.5042
40.6814,-9.33748,44.7173,49.8867,25.9628,45.6107,30.5876,21.56,-5.14777,22.4749,-22.711,43.4429,-23.2873,-31.3201,6.03141,-32.7002,2.3929,-43.8051,-22.4922,34.3173,-21.4038,-6.8528,3.55746,-24.1258,-29.4144,19.9433,-21.091,-10.4897,-20.3766,-25.2205,-18.2
35.3824,32.4344,-2.54852,-20.5349,25.0375,38.9185,31.9084,34.0486,32.8796,-12.0008,-8.84509,-23.242,-23.8999,32.1096,-5.50598,49.2438,-19.7861,3.59078,2.25216,30.8406,-18.154,17.0173,34.878,-22.9167,3.3451,-17.4593,2.65259,-2.58568,-24.8006,-21.5153,-9.12272
29.6044,-33.0922,44.584,-0.996029,-27.3149,-13.4786,31.9506,-27.5982,41.7158,35.3656,-26.821,45.5728,-16.7329,31.3876,7.916,-27.1696,8.35604,-11.8781,-29.4558,38.1568,-38.0823,-22.5574,-8.87421,-1.24729,-18.7599,-24.746,-29.5025,9.85967,-19.3725,-43.4538,-4.31417
