1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
5.23026,-116.954,47.4609,-157.782,-66.6846,80.8228,-7.838,-3.74148,178.001,123.45,-122.59,126.103,44.1686,36.7352,-82.9781,-49.3032,-67.148,119.618,38.8747,-85.3878,-85.3524,113.342,30.3995,106.828,143.136,-63.6012,28.407,-43.4893,118.626,-71.5232,35.3564
-45.3489,-66.0628,-60.2051,-82.9868,30.325,-123.094,58.5715,53.9083,56.2039,38.4373,33.6434,106.847,-44.4386,145.996,-86.4337,13.2462,33.5624,-50.2531,5.62514,-58.3564,174.975,26.4726,-44.0032,152.87,-44.8911,149.058,-43.449,99.4238,101.661,107.706,45.9218
122.974,-69.0747,-64.817,-43.2761,165.503,144.778,64.3678,-43.3207,-76.3694,107.657,29.6887,32.4472,-120.663,35.1972,179.037,31.712,33.5624,22.9156,-0.543564,44.6424,-2.72643,19.5834,43.8761,-119.197,-2.6099,-43.7619,125.566,34.0721,121.883,-64.0135,-63.7661
124.606,-121.38,-46.6809,-90.22,-4.50437,-56.6593,-79.6533,-66.4526,-116.876,148.53,101.984,-80.1678,-5.92373,131.849,33.4679,126.1,5.01154,125.828,-92.6206,-76.2224,-118.094,-58.6627,35.1463,81.7574,124.958,20.0828,81.2522,146.646,-76.4573,28.9231,127.056
32.3491,-87.8814,41.8577,-70.4315,-3.96448,9.45159,-1.58219,-61.7282,-3.70463,151.685,-63.8184,-79.1319,39.3523,-119.707,-94.7091,47.2957,36.9363,125.462,-64.945,-44.6785,-113.736,108.215,115.907,-86.6978,120.264,-44.0681,7.63154,178.076,125.308,30.8531,26.5972
43.36,-59.5908,-74.0575,110.614,-8.61306,-3.22846,55.4168,-0.089078,-90.7209,110.662,-2.89661,28.6842,27.1915,-80.5265,126.134,143.698,123.05,37.8507,-147.248,-64.8904,104.432,116.936,-61.9602,-47.8777,120.56,-82.6444,108.26,112.51,39.1034,7.0993,145.675
175.734,-43.7954,111.925,24.3587,125.355,110.479,35.4855,-103.421,111.256,-77.0482,5.69912,-73.8312,22.5987,22.2868,29.8759,-83.55,102.631,-0.196538,34.8513,51.4395,-83.129,-61.2393,24.3703,61.2658,-70.1394,-121.527,125.779,24.2576,36.4502,31.3479,122.862
108.14,49.8267,-77.4907,-72.4803,-0.441303,-91.1159,25.4471,2.75934,125.706,47.7167,101.896,-6.02507,83.1199,-75.7124,151.005,28.8479,30.3551,103.346,175.631,45.3309,-58.0383,15.7126,125.217,64.2796,24.9346,31.0895,39.9448,21.0056,80.9219,131.732,-63.5929
-85.1742,100.638,-76.7345,26.9543,17.7595,60.8533,-157.952,35.8798,55.8857,-76.2,-46.4554,29.5164,-70.2658,-64.425,102.126,106.939,-7.66736,-14.6405,21.6243,17.1124,40.6202,117.291,103.368,144.559,46.5192,31.6455,104.669,106.658,36.5172,29.6499,-69.8035
-63.2887,-89.8357,61.4219,-59.0423,28.2813,8.96919,-45.0895,-44.1553,45.822,99.033,-57.5391,33.3707,34.85,39.3706,102.854,119.171,151.002,53.018,-50.4819,141.148,44.5669,-63.4256,80.9466,-1.64786,0.706865,-72.9391,175.634,122.12,106.73,31.5459,-65.8445
-89.5537,160.669,-69.4556,10.0852,-80.5875,6.48067,34.9916,-77.9128,37.8933,92.0345,27.5316,3.39445,46.1824,-52.2934,-74.7482,25.6467,112.07,171.889,-43.1439,62.1535,143.4,108.593,125.54,30.6784,150.686,-99.0036,-64.0418,-67.9865,25.0646,-57.5833,135.716
-108.093,-97.2966,-79.4853,119.782,-99.9696,39.314,35.9526,-118.115,-113.753,-76.0086,33.7006,30.6825,-49.0558,61.9152,-74.7936,17.9439,-63.9475,98.621,111.881,46.1627,35.7074,121.817,-90.0659,-61.6607,113.773,-66.4995,102.77,103.416,32.6773,25.6074,-68.9127
-96.7845,-71.0406,19.6312,36.3806,17.5757,-72.9381,54.0921,-64.546,-97.6983,59.3372,117.538,-120.002,-65.0131,-116.395,125.997,-64.9075,125.845,-50.4819,-60.9786,27.9838,144.201,-43.3569,13.3551,-79.6578,-62.618,28.6962,28.0783,12.8074,144.818,172.613,33.748
-83.5377,-79.7424,153.222,42.6368,-79.6533,-1.24529,100.463,36.0904,-78.9145,118.798,-121.562,-83.4622,-72.3791,109.837,25.2381,-99.9306,130.974,106.855,-43.823,103.742,17.1667,177.68,-62.8825,112.908,-70.0833,178.132,124.865,125.265,55.4243,168.729,47.0106
-48.0987,-97.8369,112.803,15.6402,-111.949,92.1361,-97.6654,-117.494,59.5156,44.6012,45.9569,27.664,-89.0638,-59.1497,25.9533,22.4154,39.2368,-85.6892,9.4368,32.8681,-49.3471,11.9318,138.489,17.2606,-1.27299,65.1089,80.5342,8.69862,-69.094,150.117,13.6811
-96.8425,-76.2478,20.6162,130.88,-76.7805,-84.8524,91.5924,160.215,-75.2217,125.689,-60.068,106.829,35.9814,28.6857,-0.566246,113.381,-90.3139,-157.92,67.1814,15.2262,-45.999,35.5811,32.5913,81.8763,122.968,145.18,-71.7581,-69.408,102.026,-89.1282,13.879
127.897,84.0726,-95.2617,30.4125,109.606,76.2592,-91.338,-79.6066,113.536,111.684,69.7177,33.4186,35.229,137.79,-66.7448,42.6386,-69.7653,112.792,113.005,147.369,145.578,147.275,-74.4608,106.845,18.1786,-78.2867,63.9941,-79.4951,124.508,-87.6188,-86.2332
-87.8805,-71.0406,-71.0321,118.907,34.9823,90.9914,92.1857,-95.3426,-71.6121,35.9181,113.285,-45.6231,-84.7835,60.1151,116.293,-92.2469,22.6433,21.5702,179.528,63.7561,-68.4074,32.523,141.474,-43.1261,-64.2917,149.599,-65.5997,34.7926,100.565,-70.2984,-103.43
-105.275,128.148,-97.1003,92.0622,-82.0067,35.6693,44.0767,-64.7527,69.1791,-85.308,58.9894,109.6,-65.6191,113.08,-97.211,125.334,-4.18651,78.7843,21.7005,21.4274,64.3806,45.4859,106.828,-73.0124,-6.1614,27.3388,115.087,46.9438,104.265,160.342,-67.725
-66.706,-94.1582,103.832,113.629,49.9988,106.815,-147.426,-72.5285,-60.1886,89.816,7.32512,104.478,30.6766,-3.59305,-71.5096,34.8693,-80.1188,-41.6614,26.7148,38.9875,-72.9646,179.651,29.4784,-86.8374,158.657,-70.5612,22.8815,116.093,39.2468,24.494,108.399
109.57,-94.9169,115.405,-79.1496,-95.0101,-42.9149,92.4232,-61.8013,-77.3418,41.1058,43.2278,48.0866,178.043,-86.3593,126.304,-75.7319,152.865,-73.808,46.8211,112.566,26.4187,102.23,177.483,113.998,-122.912,152.829,146.658,34.4615,21.5776,38.9689,76.4058
-58.9735,120.905,-82.6341,121.197,-91.3226,142.914,91.5273,152.026,115.409,-97.9613,99.2856,34.6474,125.768,43.6641,80.6769,120.953,38.9544,151.113,102.894,-3.78196,-62.8697,125.115,46.3425,23.7939,121.978,-16.9677,-83.56,-159.53,101.308,66.4342,65.5929
91.8542,-70.2357,-75.5718,80.4188,147.041,90.3022,39.2757,105.41,51.2978,92.0895,80.1122,63.6512,-80.1618,23.1216,103.202,91.7119,101.591,29.1292,34.8066,-50.4819,107.603,-5.907,120.757,119.511,-76.5144,34.2547,36.397,-67.4996,149.832,-84.9465,-68.888
-99.4494,-113.747,9.9383,108.938,42.5836,-58.5812,110.256,113.878,80.3212,30.1332,-90.104,31.223,-122.426,-82.2758,-106.211,105.491,46.7364,132.042,-68.1304,125.744,66.9818,102.536,131.919,125.935,-46.9628,-4.04265,97.0985,123.278,22.6244,13.013,-67.7993
-96.1011,108.766,-71.1067,117.978,-35.61,-95.1282,-77.2969,-79.5078,44.6743,118.128,-89.5648,6.9867,92.1256,168.381,8.09713,108.358,-8.54227,-3.0139,139.397,120.087,31.1146,124.664,28.2594,149.539,-83.2841,147.956,140.823,178.017,2.54269,69.3787,-72.1912
120.916,105.593,84.3995,32.9515,-120.672,58.0278,127.408,52.8976,-76.531,116.038,112.827,-35.4933,38.2344,-82.0641,-69.9695,-74.6479,4.2198,106.855,-2.49865,175.533,48.568,-70.2968,-86.5356,107.286,14.1475,-73.7657,-48.1626,-59.2722,-70.9926,38.9442,110.676
75.0937,-54.7281,-98.7832,69.4328,42.0695,80.6926,66.1672,114.116,120.765,80.3366,90.0958,149.128,-95.3809,110.866,111.865,-71.4062,12.4762,146.755,-70.4323,108.144,48.2834,106.928,3.37805,46.8984,-74.4359,-1.53213,122.73,40.2645,-2.94021,111.467,35.1089
109.974,140.195,126.932,89.2694,-95.4192,72.2929,7.88945,-2.4015,92.0974,43.3263,24.296,17.7986,145.709,16.0739,69.8959,-90.682,2.36843,42.2864,102.452,134.694,66.9303,28.2416,177.483,68.5547,30.8028,17.2457,125.091,-72.5821,-25.5351,19.2236,150.612
89.9853,-88.2263,91.8011,24.7132,113.706,73.0436,80.685,-55.9395,-6.32855,44.0001,39.0934,-81.1983,43.4738,-79.9563,128.374,94.7981,13.5079,109.784,145.86,106.838,61.8546,87.2118,-97.9324,-7.11362,151.35,21.1442,20.642,29.3596,19.6182,-59.5597,71.8901
6.50952,80.187,51.6599,92.926,108.072,-85.3119,-76.1732,10.5657,59.9925,91.803,51.6601,-88.025,52.6964,50.8055,9.92606,119.531,-90.4728,71.4084,15.9205,124.624,3.95344,-79.9807,49.9409,112.368,-91.0096,45.4942,147.327,36.2141,31.2168,113.342,36.2471
-80.5923,-81.5473,117.689,104.148,-73.1368,92.9822,114.253,71.6038,83.7111,-76.8547,9.00832,47.415,40.082,166.98,116.149,89.7361,19.17,-68.1292,9.36896,99.1245,78.8332,144.381,124.71,106.735,114.671,27.7369,99.277,51.0064,36.718,-94.0274,-74.5048
21.5509,-25.5053,124.655,90.7053,80.3513,-90.7024,73.7324,-115.994,117.867,113.189,10.7405,44.0349,37.5439,-71.0969,95.886,109.248,-56.4701,178.456,118.212,-63.6763,48.8491,44.1777,-86.6007,114.981,16.6784,-73.3575,101.212,-73.0738,57.5238,57.2544,150.513
76.9103,-102.223,-66.4167,-58.1136,-38.1522,111.788,72.1321,63.8319,-88.8702,92.071,92.8575,106.781,89.0683,70.1197,-102.409,120.823,-73.9043,126.014,22.2237,116.975,46.294,20.8258,64.8947,101.782,32.1703,34.9929,100.482,35.0189,-3.81041,-53.547,-97.9863
24.9139,-99.8429,-75.9401,3.45225,126.068,108.266,-92.341,142.822,-92.4812,-83.6886,47.6973,41.9351,59.4723,18.107,91.5543,105.064,101.717,47.8434,-69.31,45.061,66.1149,-157.97,-71.7811,-75.4189,-97.0308,31.0638,98.9728,-62.0228,-58.6759,68.0178,36.8905
125.156,-84.4959,30.7003,80.7246,-93.4054,92.7754,116.436,62.1932,120.46,18.8851,90.2429,115.873,43.9997,150.68,25.4239,74.5207,29.032,67.8694,-72.102,-95.9635,21.6586,17.9801,-59.1204,80.8171,100.731,-78.1191,-73.2916,64.1872,45.7365,94.3696,73.2634
90.1999,89.4296,-99.122,39.8909,96.0144,-80.9321,91.3972,74.5088,110.652,-84.3318,85.8796,-77.5231,4.03785,-0.487124,111.673,134.396,-56.7353,-80.0304,35.1782,44.585,68.3724,101.653,74.2156,38.1658,24.2305,-86.3795,53.6734,83.8307,-88.6401,80.1668,175.355
-85.7798,-107.522,-90.7707,-114.841,-43.4738,123.116,-69.9059,-78.1083,39.3187,76.6191,92.8902,73.762,46.6188,-51.6527,-99.0399,-36.2564,56.1937,35.4677,107.641,144.544,46.9769,152.621,49.1341,-89.1522,-85.2333,79.2127,137.834,106.493,68.8486,112.358,114.981
120.376,-90.6864,2.42823,103.879,-70.6563,101.857,18.8161,59.8196,-99.7422,111.609,-81.5247,111.292,113.348,63.8934,-97.1147,77.6925,99.0754,77.3556,39.6729,34.5575,173,114.989,173.985,37.6723,106.364,104.787,37.5593,70.0048,52.3938,-94.7944,81.5277
-105.091,10.2467,133.687,127.777,107.033,39.4136,120.241,-72.7314,4.60164,77.252,36.2744,45.201,117.365,-60.1238,133.427,94.643,-66.841,-70.1647,28.312,153.22,68.4509,125.565,-0.64878,78.7172,63.5929,94.6126,-64.7721,44.5194,-97.5977,124.73,-72.9212
87.1258,120.882,33.9157,-99.3069,-80.5262,104.096,106.342,80.4246,89.7567,67.2212,41.4993,10.8096,109.438,103.962,-94.4195,9.67812,57.4197,-83.2183,110.416,-83.7764,-74.7348,35.1189,-104.281,35.2215,29.7516,29.6861,-79.3526,30.7909,43.6553,27.0426,79.1771
100.797,-149.464,121.527,71.1117,111.727,121.214,111.681,131.849,27.5231,61.0726,1.29451,90.1016,67.037,-84.3936,-92.7549,56.6552,36.2137,39.3032,39.834,39.8068,-74.3223,25.5658,4.2037,-42.6843,-67.6289,36.9829,-52.9178,157.95,98.6181,94.716,22.8609
