1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
19850101,19860101,19870101,19880101,19890101,19900103,19910105,19920102,19930101,19940104,19950103,19960106,19970101,19980101,19990104,20000101,20010101,20020101,20030101,20040104,20050105,20060101,20070101,20080102,20090103,20100101,20110101,20120101,20130103,20140101,20150101
19850115,19860106,19870115,19880130,19890101,19900109,19910127,19920104,19930103,19940109,19950107,19960106,19970101,19980101,19990104,20000108,20010101,20020102,20030101,20040105,20050107,20060102,20070101,20080103,20090108,20100101,20110101,20120101,20130103,20140108,20150105
19850120,19860201,19870120,19880201,19890102,19900114,19910128,19920104,19930105,19940112,19950108,19960112,19970101,19980119,19990107,20000126,20010104,20020102,20030101,20040108,20050108,20060103,20070101,20080105,20090108,20100101,20110101,20120117,20130103,20140110,20150105
19850204,19860212,19870126,19880201,19890114,19900114,19910202,19920105,19930106,19940116,19950109,19960114,19970105,19980125,19990115,20000128,20010105,20020104,20030101,20040108,20050108,20060108,20070103,20080107,20090120,20100104,20110105,20120122,20130104,20140115,20150105
19850209,19860327,19870128,19880201,19890117,19900120,19910224,19920105,19930115,19940116,19950115,19960115,19970107,19980203,19990201,20000217,20010113,20020105,20030103,20040110,20050110,20060108,20070104,20080108,20090122,20100110,20110107,20120122,20130104,20140115,20150201
19850216,19860411,19870201,19880205,19890122,19900126,19910307,19920109,19930120,19940128,19950120,19960116,19970108,19980203,19990204,20000218,20010115,20020106,20030104,20040110,20050111,20060109,20070110,20080112,20090122,20100111,20110116,20120127,20130106,20140120,20150205
19850217,19860423,19870221,19880210,19890125,19900126,19910311,19920117,19930201,19940131,19950123,19960119,19970112,19980206,19990204,20000218,20010116,20020106,20030104,20040110,20050111,20060114,20070110,20080113,20090123,20100118,20110125,20120201,20130108,20140201,20150205
19850219,19860502,19870305,19880222,19890125,19900126,19910315,19920121,19930201,19940131,19950203,19960121,19970114,19980210,19990206,20000303,20010120,20020108,20030108,20040112,20050115,20060118,20070110,20080113,20090123,20100118,20110126,20120203,20130108,20140202,20150215
19850222,19860509,19870309,19880308,19890126,19900211,19910319,19920201,19930203,19940131,19950206,19960124,19970115,19980211,19990209,20000303,20010126,20020109,20030108,20040114,20050122,20060122,20070111,20080114,20090126,20100125,20110128,20120212,20130113,20140219,20150220
19850225,19860515,19870316,19880325,19890201,19900214,19910319,19920201,19930205,19940211,19950214,19960127,19970115,19980218,19990209,20000306,20010201,20020111,20030111,20040114,20050123,20060125,20070112,20080115,20090126,20100125,20110128,20120212,20130113,20140224,20150220
19850303,19860519,19870331,19880326,19890201,19900215,19910324,19920206,19930208,19940226,19950223,19960127,19970120,19980220,19990218,20000309,20010204,20020112,20030111,20040115,20050123,20060126,20070112,20080124,20090126,20100126,20110130,20120220,20130115,20140225,20150222
19850313,19860524,19870403,19880330,19890205,19900218,19910324,19920210,19930223,19940227,19950304,19960206,19970122,19980220,19990220,20000309,20010216,20020113,20030112,20040116,20050125,20060126,20070115,20080128,20090128,20100127,20110201,20120220,20130117,20140301,20150223
19850314,19860527,19870507,19880410,19890208,19900220,19910330,19920211,19930307,19940311,19950305,19960207,19970201,19980223,19990220,20000309,20010216,20020115,20030113,20040124,20050126,20060127,20070117,20080130,20090201,20100127,20110201,20120220,20130122,20140303,20150303
19850330,19860530,19870509,19880414,19890211,19900226,19910401,19920220,19930415,19940312,19950308,19960207,19970217,19980225,19990221,20000329,20010218,20020115,20030114,20040124,20050127,20060129,20070118,20080130,20090201,20100129,20110201,20120220,20130127,20140303,20150305
