,region,district,year,month,mean_mon_rainfall_mm
282,Ashanti,Ahafo Ano North,1981,1,6.065213
283,Ashanti,Ahafo Ano South,1981,1,5.1550837
284,Ashanti,Amansie West,1981,1,4.2539425
285,Ashanti,Asante Akim North,1981,1,3.5834453
286,Ashanti,Asante Akim South,1981,1,4.436135
287,Ashanti,Ejura Sekye Dumasi,1981,1,3.3061693
288,Brong Ahafo,Asutifi,1981,1,5.7756653
289,Brong Ahafo,Berekum,1981,1,4.322205
290,Brong Ahafo,Techiman,1981,1,3.8622086
291,Central,Ajumanku / Enyan / Essiam,1981,1,11.356557
292,Central,Abura / Asebu / Kwamankese,1981,1,17.067463
293,Central,Asikuma / Odoben / Brakwa,1981,1,10.954912
294,Central,Cape Coast,1981,1,14.083814
295,Central,Komenda / Edina / Eguafo / Abirem,1981,1,15.883655
296,Central,Mfantsiman,1981,1,11.263864
297,Central,Twifo / Heman / Lower Denkyira,1981,1,12.735687
298,Eastern,Akwapim North,1981,1,13.599058
299,Eastern,Akwapim South,1981,1,11.646194
300,Eastern,Asuogyaman,1981,1,15.68347
301,Eastern,Fanteakwa,1981,1,10.526996
302,Eastern,Kwaebibirem,1981,1,7.766713
303,Eastern,New Juaben Municipal,1981,1,10.807799
304,Eastern,Suhum / Kraboa Coaltar,1981,1,11.922006
305,Eastern,West Akim,1981,1,11.707497
306,Eastern,Yilo Krobo,1981,1,12.71418
307,Greater Accra,Dangbe East,1981,1,11.534288
308,Greater Accra,Dangbe West,1981,1,10.677634
309,Upper West,Lawra,1981,1,0.9946136
310,Upper West,Nadowli,1981,1,0.98635167
311,Volta,Keta Municipal,1981,1,13.314347
312,Volta,North Tongu,1981,1,14.009306
313,Western,Ahanta West,1981,1,15.613788
314,Western,Aowin / Suaman,1981,1,9.396915
315,Western,Sefwi Bibiani-Ahwiaso Bekwai,1981,1,4.8478594
316,Western,Jomoro,1981,1,13.701715
317,Ashanti,K M A,1981,1,3.8618476
318,Upper East,Bawku West,1981,1,0.6912826
319,Upper East,Bongo,1981,1,0.8430205
320,Upper East,Builsa,1981,1,0.47944692
321,Northern,West Mamprusi,1981,1,1.0082735
322,Northern,Savelugu Nanton,1981,1,1.4736494
323,Northern,Tolon Kumbugu,1981,1,1.3558072
324,Northern,Yendi,1981,1,2.0075507
325,Northern,Tamale,1981,1,1.3889078
326,Upper West,Wa West,1981,1,1.2838569
327,Upper West,Wa Municipal,1981,1,1.0479002
328,Upper West,Wa East,1981,1,1.1663659
329,Upper East,Bawku Municipal,1981,1,0.47062835
330,Northern,East Mamprusi,1981,1,0.35604265
331,Northern,Central Gonja,1981,1,1.422274
332,Northern,West Gonja,1981,1,1.0802573
333,Northern,Bole,1981,1,1.516838
334,Northern,Sawla / Tuna / Kalba,1981,1,1.1079382
335,Northern,Nanumba North,1981,1,3.2939215
336,Brong Ahafo,Kintampo,1981,1,2.9174714
337,Brong Ahafo,Kintampo South,1981,1,3.585564
338,Brong Ahafo,Wenchi,1981,1,2.8616543
339,Brong Ahafo,Tain,1981,1,2.6295547
340,Brong Ahafo,Jaman South,1981,1,4.311346
341,Brong Ahafo,Jaman North,1981,1,4.2051373
342,Brong Ahafo,Asunafo North,1981,1,5.6605005
